"Listing ID	PMS Name	Date	Units	No. Booked	No. Blocked	blocking_units	Bookable Units	nightly_revenue	Vacant Units	Date Corrected	Listing	Day"
"316005___633310	cloudbeds	2021-01-07T00:00:00.000000	5	0	5	5	0	0	0	1/7/21	Onera Wimberley Spyglass -- 5 units	Thursday"
"316005___633311	cloudbeds	2021-01-07T00:00:00.000000	1	0	1	1	0	0	0	1/7/21	Onera Wimberley Spyglass (Accessible)	Thursday"
"316005___633312	cloudbeds	2021-01-07T00:00:00.000000	6	0	6	6	0	0	0	1/7/21	Onera Wimberley Spyglass (Pet Friendly) -- 6 units	Thursday"
"316005___633306	cloudbeds	2021-01-08T00:00:00.000000	9	0	9	9	0	0	0	1/8/21	Onera Wimberley Greenhouse -- 9 units	Friday"
"316005___633307	cloudbeds	2021-01-08T00:00:00.000000	1	0	1	1	0	0	0	1/8/21	Onera Wimberley Greenhouse (Accessible)	Friday"
"316005___633308	cloudbeds	2021-01-08T00:00:00.000000	6	0	6	6	0	0	0	1/8/21	Onera Wimberley Greenhouse (Pet Friendly) -- 6 units	Friday"
"316005___633310	cloudbeds	2021-01-08T00:00:00.000000	5	0	5	5	0	0	0	1/8/21	Onera Wimberley Spyglass -- 5 units	Friday"
"316005___633311	cloudbeds	2021-01-08T00:00:00.000000	1	0	1	1	0	0	0	1/8/21	Onera Wimberley Spyglass (Accessible)	Friday"
"316005___633312	cloudbeds	2021-01-08T00:00:00.000000	6	0	6	6	0	0	0	1/8/21	Onera Wimberley Spyglass (Pet Friendly) -- 6 units	Friday"
"316005___633306	cloudbeds	2021-01-09T00:00:00.000000	9	0	9	9	0	0	0	1/9/21	Onera Wimberley Greenhouse -- 9 units	Saturday"
"316005___633307	cloudbeds	2021-01-09T00:00:00.000000	1	0	1	1	0	0	0	1/9/21	Onera Wimberley Greenhouse (Accessible)	Saturday"
"316005___633308	cloudbeds	2021-01-09T00:00:00.000000	6	0	6	6	0	0	0	1/9/21	Onera Wimberley Greenhouse (Pet Friendly) -- 6 units	Saturday"
"316005___633310	cloudbeds	2021-01-09T00:00:00.000000	5	0	5	5	0	0	0	1/9/21	Onera Wimberley Spyglass -- 5 units	Saturday"
"316005___633311	cloudbeds	2021-01-09T00:00:00.000000	1	0	1	1	0	0	0	1/9/21	Onera Wimberley Spyglass (Accessible)	Saturday"
"316005___633312	cloudbeds	2021-01-09T00:00:00.000000	6	0	6	6	0	0	0	1/9/21	Onera Wimberley Spyglass (Pet Friendly) -- 6 units	Saturday"
"316005___633306	cloudbeds	2021-01-10T00:00:00.000000	9	0	9	9	0	0	0	1/10/21	Onera Wimberley Greenhouse -- 9 units	Sunday"
"316005___633307	cloudbeds	2021-01-10T00:00:00.000000	1	0	1	1	0	0	0	1/10/21	Onera Wimberley Greenhouse (Accessible)	Sunday"
"316005___633308	cloudbeds	2021-01-10T00:00:00.000000	6	0	6	6	0	0	0	1/10/21	Onera Wimberley Greenhouse (Pet Friendly) -- 6 units	Sunday"
"316005___633310	cloudbeds	2021-01-10T00:00:00.000000	5	0	5	5	0	0	0	1/10/21	Onera Wimberley Spyglass -- 5 units	Sunday"
"316005___633311	cloudbeds	2021-01-10T00:00:00.000000	1	0	1	1	0	0	0	1/10/21	Onera Wimberley Spyglass (Accessible)	Sunday"
"316005___633312	cloudbeds	2021-01-10T00:00:00.000000	6	0	6	6	0	0	0	1/10/21	Onera Wimberley Spyglass (Pet Friendly) -- 6 units	Sunday"
"316005___633306	cloudbeds	2021-01-11T00:00:00.000000	9	0	9	9	0	0	0	1/11/21	Onera Wimberley Greenhouse -- 9 units	Monday"
"316005___633307	cloudbeds	2021-01-11T00:00:00.000000	1	0	1	1	0	0	0	1/11/21	Onera Wimberley Greenhouse (Accessible)	Monday"
"316005___633308	cloudbeds	2021-01-11T00:00:00.000000	6	0	6	6	0	0	0	1/11/21	Onera Wimberley Greenhouse (Pet Friendly) -- 6 units	Monday"
"316005___633310	cloudbeds	2021-01-11T00:00:00.000000	5	0	5	5	0	0	0	1/11/21	Onera Wimberley Spyglass -- 5 units	Monday"
"316005___633311	cloudbeds	2021-01-11T00:00:00.000000	1	0	1	1	0	0	0	1/11/21	Onera Wimberley Spyglass (Accessible)	Monday"
"316005___633312	cloudbeds	2021-01-11T00:00:00.000000	6	0	6	6	0	0	0	1/11/21	Onera Wimberley Spyglass (Pet Friendly) -- 6 units	Monday"
"316005___633306	cloudbeds	2021-01-12T00:00:00.000000	9	0	9	9	0	0	0	1/12/21	Onera Wimberley Greenhouse -- 9 units	Tuesday"
"316005___633307	cloudbeds	2021-01-12T00:00:00.000000	1	0	1	1	0	0	0	1/12/21	Onera Wimberley Greenhouse (Accessible)	Tuesday"
"316005___633308	cloudbeds	2021-01-12T00:00:00.000000	6	0	6	6	0	0	0	1/12/21	Onera Wimberley Greenhouse (Pet Friendly) -- 6 units	Tuesday"
"316005___633310	cloudbeds	2021-01-12T00:00:00.000000	5	0	5	5	0	0	0	1/12/21	Onera Wimberley Spyglass -- 5 units	Tuesday"
"316005___633311	cloudbeds	2021-01-12T00:00:00.000000	1	0	1	1	0	0	0	1/12/21	Onera Wimberley Spyglass (Accessible)	Tuesday"
"316005___633312	cloudbeds	2021-01-12T00:00:00.000000	6	0	6	6	0	0	0	1/12/21	Onera Wimberley Spyglass (Pet Friendly) -- 6 units	Tuesday"
"316005___633306	cloudbeds	2021-01-13T00:00:00.000000	9	0	9	9	0	0	0	1/13/21	Onera Wimberley Greenhouse -- 9 units	Wednesday"
"316005___633307	cloudbeds	2021-01-13T00:00:00.000000	1	0	1	1	0	0	0	1/13/21	Onera Wimberley Greenhouse (Accessible)	Wednesday"
"316005___633308	cloudbeds	2021-01-13T00:00:00.000000	6	0	6	6	0	0	0	1/13/21	Onera Wimberley Greenhouse (Pet Friendly) -- 6 units	Wednesday"
"316005___633310	cloudbeds	2021-01-13T00:00:00.000000	5	0	5	5	0	0	0	1/13/21	Onera Wimberley Spyglass -- 5 units	Wednesday"
"316005___633311	cloudbeds	2021-01-13T00:00:00.000000	1	0	1	1	0	0	0	1/13/21	Onera Wimberley Spyglass (Accessible)	Wednesday"
"316005___633312	cloudbeds	2021-01-13T00:00:00.000000	6	0	6	6	0	0	0	1/13/21	Onera Wimberley Spyglass (Pet Friendly) -- 6 units	Wednesday"
"316005___633306	cloudbeds	2021-01-14T00:00:00.000000	9	0	9	9	0	0	0	1/14/21	Onera Wimberley Greenhouse -- 9 units	Thursday"
"316005___633307	cloudbeds	2021-01-14T00:00:00.000000	1	0	1	1	0	0	0	1/14/21	Onera Wimberley Greenhouse (Accessible)	Thursday"
"316005___633308	cloudbeds	2021-01-14T00:00:00.000000	6	0	6	6	0	0	0	1/14/21	Onera Wimberley Greenhouse (Pet Friendly) -- 6 units	Thursday"
"316005___633310	cloudbeds	2021-01-14T00:00:00.000000	5	0	5	5	0	0	0	1/14/21	Onera Wimberley Spyglass -- 5 units	Thursday"
"316005___633311	cloudbeds	2021-01-14T00:00:00.000000	1	0	1	1	0	0	0	1/14/21	Onera Wimberley Spyglass (Accessible)	Thursday"
"316005___633312	cloudbeds	2021-01-14T00:00:00.000000	6	0	6	6	0	0	0	1/14/21	Onera Wimberley Spyglass (Pet Friendly) -- 6 units	Thursday"
"316005___633306	cloudbeds	2021-01-15T00:00:00.000000	9	0	9	9	0	0	0	1/15/21	Onera Wimberley Greenhouse -- 9 units	Friday"
"316005___633307	cloudbeds	2021-01-15T00:00:00.000000	1	0	1	1	0	0	0	1/15/21	Onera Wimberley Greenhouse (Accessible)	Friday"
"316005___633308	cloudbeds	2021-01-15T00:00:00.000000	6	0	6	6	0	0	0	1/15/21	Onera Wimberley Greenhouse (Pet Friendly) -- 6 units	Friday"
"316005___633310	cloudbeds	2021-01-15T00:00:00.000000	5	0	5	5	0	0	0	1/15/21	Onera Wimberley Spyglass -- 5 units	Friday"
"316005___633311	cloudbeds	2021-01-15T00:00:00.000000	1	0	1	1	0	0	0	1/15/21	Onera Wimberley Spyglass (Accessible)	Friday"
"316005___633312	cloudbeds	2021-01-15T00:00:00.000000	6	0	6	6	0	0	0	1/15/21	Onera Wimberley Spyglass (Pet Friendly) -- 6 units	Friday"
"316005___633306	cloudbeds	2021-01-16T00:00:00.000000	9	0	9	9	0	0	0	1/16/21	Onera Wimberley Greenhouse -- 9 units	Saturday"
"316005___633307	cloudbeds	2021-01-16T00:00:00.000000	1	0	1	1	0	0	0	1/16/21	Onera Wimberley Greenhouse (Accessible)	Saturday"
"316005___633308	cloudbeds	2021-01-16T00:00:00.000000	6	0	6	6	0	0	0	1/16/21	Onera Wimberley Greenhouse (Pet Friendly) -- 6 units	Saturday"
