listing,listing_id,date,Live Rate $,occupancy_percent,suggested_rate,adjusted_rate,final_tier,booking_window,error_details
Live Oak Lodge,203812___364778,2025-07-08,410,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-09,410,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-10,484,-391.67,ERROR: Rate Lookup Failed,,T1-T3,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-391.67%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-11,1043,-433.33,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-433.33%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-12,1043,-441.67,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-441.67%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-13,484,-483.33,ERROR: Rate Lookup Failed,,T1-T3,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-483.33%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-14,410,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-15,410,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-16,410,-366.67,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-366.67%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-17,484,-475.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-475.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-18,1178,-450.0,ERROR: Rate Lookup Failed,,T7-T9,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T7-T9, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-450.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-19,1178,-441.67,ERROR: Rate Lookup Failed,,T7-T9,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T7-T9, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-441.67%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-20,484,-383.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-383.33%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-21,410,-391.67,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-391.67%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-22,410,-391.67,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-391.67%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-23,410,-375.0,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-375.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-24,503,-408.33,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-408.33%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-25,1148,-425.0,ERROR: Rate Lookup Failed,,T10-T12,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-425.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-26,1148,-425.0,ERROR: Rate Lookup Failed,,T10-T12,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-425.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-27,503,-425.0,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-425.00%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-28,410,-433.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-433.33%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-29,410,-408.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-408.33%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-30,410,-408.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-408.33%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-07-31,401,-416.67,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-416.67%, Urg:, RateCol:rate_1"
Live Oak Lodge,203812___364778,2025-08-01,590,-391.67,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-391.67%, Urg:, RateCol:rate_1"
Lantana Dome,203812___364779,2025-07-01,367,-300.0,ERROR: Rate Lookup Failed,,T4-T6,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:31-45 Days (W4), Occ:-300.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-02,367,-366.67,ERROR: Rate Lookup Failed,,T4-T6,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:31-45 Days (W4), Occ:-366.67%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-03,469,-500.0,ERROR: Rate Lookup Failed,,T10-T12,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T10-T12, Day:Thu-Sun, Win:31-45 Days (W4), Occ:-500.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-04,1043,-483.33,ERROR: Rate Lookup Failed,,T10-T12,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:31-45 Days (W4), Occ:-483.33%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-05,1043,-400.0,ERROR: Rate Lookup Failed,,T10-T12,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-06,420,-408.33,ERROR: Rate Lookup Failed,,T10-T12,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T10-T12, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-408.33%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-07,346,-383.33,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-383.33%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-08,346,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-09,346,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-10,428,-391.67,ERROR: Rate Lookup Failed,,T1-T3,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-391.67%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-11,764,-433.33,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-433.33%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-12,764,-441.67,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-441.67%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-13,428,-483.33,ERROR: Rate Lookup Failed,,T1-T3,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-483.33%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-14,346,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-15,346,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-16,346,-366.67,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-366.67%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-17,380,-475.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-475.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-18,573,-450.0,ERROR: Rate Lookup Failed,,T7-T9,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T7-T9, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-450.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-19,573,-441.67,ERROR: Rate Lookup Failed,,T7-T9,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T7-T9, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-441.67%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-20,428,-383.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-383.33%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-21,346,-391.67,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-391.67%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-22,346,-391.67,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-391.67%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-23,346,-375.0,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-375.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-24,420,-408.33,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-408.33%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-25,1043,-425.0,ERROR: Rate Lookup Failed,,T10-T12,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-425.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-26,1043,-425.0,ERROR: Rate Lookup Failed,,T10-T12,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-425.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-27,420,-425.0,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-425.00%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-28,346,-433.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-433.33%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-29,346,-408.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-408.33%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-30,346,-408.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-408.33%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-07-31,428,-416.67,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-416.67%, Urg:, RateCol:rate_2"
Lantana Dome,203812___364779,2025-08-01,854,-391.67,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-391.67%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-01,367,-300.0,ERROR: Rate Lookup Failed,,T4-T6,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:31-45 Days (W4), Occ:-300.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-02,367,-366.67,ERROR: Rate Lookup Failed,,T4-T6,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:31-45 Days (W4), Occ:-366.67%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-03,469,-500.0,ERROR: Rate Lookup Failed,,T10-T12,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T10-T12, Day:Thu-Sun, Win:31-45 Days (W4), Occ:-500.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-04,1043,-483.33,ERROR: Rate Lookup Failed,,T10-T12,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:31-45 Days (W4), Occ:-483.33%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-05,1043,-400.0,ERROR: Rate Lookup Failed,,T10-T12,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-06,420,-408.33,ERROR: Rate Lookup Failed,,T10-T12,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T10-T12, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-408.33%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-07,292,-383.33,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-383.33%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-08,292,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-09,292,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-10,319,-391.67,ERROR: Rate Lookup Failed,,T1-T3,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-391.67%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-11,764,-433.33,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-433.33%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-12,764,-441.67,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-441.67%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-13,428,-483.33,ERROR: Rate Lookup Failed,,T1-T3,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-483.33%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-14,346,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-15,346,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-16,346,-366.67,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-366.67%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-17,428,-475.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-475.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-18,858,-450.0,ERROR: Rate Lookup Failed,,T7-T9,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T7-T9, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-450.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-19,858,-441.67,ERROR: Rate Lookup Failed,,T7-T9,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T7-T9, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-441.67%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-20,428,-383.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-383.33%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-21,346,-391.67,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-391.67%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-22,346,-391.67,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-391.67%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-23,346,-375.0,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-375.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-24,420,-408.33,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-408.33%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-25,1043,-425.0,ERROR: Rate Lookup Failed,,T10-T12,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-425.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-26,1043,-425.0,ERROR: Rate Lookup Failed,,T10-T12,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-425.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-27,420,-425.0,ERROR: Rate Lookup Failed,,T1-T3,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-425.00%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-28,346,-433.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-433.33%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-29,346,-408.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-408.33%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-30,346,-408.33,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:60-120 Days (W6), Occ:-408.33%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-07-31,428,-416.67,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Thu-Sun, Win:60-120 Days (W6), Occ:-416.67%, Urg:, RateCol:rate_2"
Sage Safari,203812___364780,2025-08-01,658,-391.67,ERROR: Rate Lookup Failed,,T4-T6,60-120 Days (W6),"Lookup Failed: No rule found for Tier:T4-T6, Day:Fri-Sat, Win:60-120 Days (W6), Occ:-391.67%, Urg:, RateCol:rate_2"
Monarch,203812___364781,2025-07-01,368,-300.0,ERROR: Rate Lookup Failed,,T4-T6,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:31-45 Days (W4), Occ:-300.00%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-02,462,-366.67,ERROR: Rate Lookup Failed,,T4-T6,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:31-45 Days (W4), Occ:-366.67%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-03,590,-500.0,ERROR: Rate Lookup Failed,,T10-T12,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T10-T12, Day:Thu-Sun, Win:31-45 Days (W4), Occ:-500.00%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-04,1148,-483.33,ERROR: Rate Lookup Failed,,T10-T12,31-45 Days (W4),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:31-45 Days (W4), Occ:-483.33%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-05,1148,-400.0,ERROR: Rate Lookup Failed,,T10-T12,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T10-T12, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-06,503,-408.33,ERROR: Rate Lookup Failed,,T10-T12,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T10-T12, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-408.33%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-07,410,-383.33,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-383.33%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-08,410,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-09,410,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-10,484,-391.67,ERROR: Rate Lookup Failed,,T1-T3,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-391.67%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-11,1043,-433.33,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-433.33%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-12,1043,-441.67,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Fri-Sat, Win:46-59 Days (W5), Occ:-441.67%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-13,401,-483.33,ERROR: Rate Lookup Failed,,T1-T3,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T1-T3, Day:Thu-Sun, Win:46-59 Days (W5), Occ:-483.33%, Urg:, RateCol:rate_1"
Monarch,203812___364781,2025-07-14,368,-400.0,ERROR: Rate Lookup Failed,,T4-T6,46-59 Days (W5),"Lookup Failed: No rule found for Tier:T4-T6, Day:Mon-Wed, Win:46-59 Days (W5), Occ:-400.00%, Urg:, RateCol:rate_1"
